email_id,subject,message,classification,expected_behavior
E024,Beach bags for vacation,"Hi! My sister and I are planning a beach vacation next month and we both need new beach bags. I think you sell canvas beach bags? Someone mentioned there might be a good deal if we buy multiple ones. Could you help us out? Thanks, Sarah",order,"Should identify CBG9876 Canvas Beach Bags and apply BOGO 50% discount for 2 bags (total: $36 instead of $48)"
E025,Work bag inquiry,"Good morning, I'm looking for a quilted tote bag for work. A colleague mentioned you had some nice ones at a good price recently. Could you tell me what you have available? Thank you!",inquiry,"Should identify QTP5432 Quilted Tote and mention the 25% off promotion currently available"
E026,Need a suit urgently,"Hello, I need a new suit for job interviews ASAP. My name is Michael and I'm on a tight budget. Do you have any complete suits available? I heard you might have some kind of package deal? Thanks!",order,"Should identify TLR5432 Tailored Suit and apply bundle discount (full suit for blazer price)"
E027,Plaid vest question,"Hey there, I'm interested in that plaid flannel vest you carry. Product PLV8765 I think? Does it come with anything else or is there a matching piece I could get? Thanks, Jake",inquiry,"Should explain the matching plaid shirt (PLD9876) bundle promotion - 50% off shirt when buying vest"
E028,Garden party dress,"Hi, I need a dress for a garden party next weekend. I love floral patterns and I remember seeing a beautiful maxi dress on your site. Could you help me find it? Best regards, Emma",order,"Should identify FLD9876 Floral Maxi Dress and apply the 20% off promotion"
E029,Women's jacket inquiry,"Good afternoon, I'm interested in that bomber jacket for women - BMX5432 I think? What comes with it? A friend mentioned something about extras included? Thank you, Lisa",inquiry,"Should explain the free matching beanie offer that comes with the BMX5432 Bomber Jacket"
E030,Dresses for going out,"Hello! I'm organizing outfits for my girls' night outs and I need some knit mini dresses. The KMN3210 looks perfect! I might need a few of them. Is there any advantage to ordering multiple? Thanks, Rachel",order,"Should identify the buy-2-get-1-free promotion on KMN3210 Knit Mini Dress"
E031,Pregunta sobre bolsos,"Hola, estoy buscando bolsos y he oído que tienen buenos precios. ¿Qué opciones tienen en bolsos de playa y bolsos para trabajo? Me interesan especialmente los modelos CBG9876 y QTP5432. Gracias, María",inquiry,"Should respond in Spanish explaining available bag promotions (BOGO for beach bag, 25% off quilted tote)"
E032,Friend mentioned beach bags,"Hi there, I heard from a friend that you have really nice beach bags and she said there was some kind of special offer? I'm not sure what exactly but she seemed excited about it. Could you tell me more? I might need a couple for my family. Thanks!",inquiry,"Should identify CBG9876 beach bag BOGO offer and explain the promotion details"
E033,Just want the vest,"Hello, I'd like to order that plaid flannel vest. I think the code was PLV8765? Just the vest for now, thanks.",order,"Should process PLV8765 vest order but mention the available bundle promotion with matching shirt"
E034,Vest and shirt together,"Hi, I want to order the plaid vest PLV8765 and I think there's a matching shirt that goes with it? I'd like both pieces if possible. Thanks, Alex",order,"Should process order for both PLV8765 vest and PLD9876 shirt with bundle promotion applied"
E035,About your plaid shirts,"Good morning, I'm interested in plaid shirts. I think I saw one mentioned somewhere as part of some kind of deal? Could you tell me about your plaid shirt options and any special offers? I might just want the shirt.",inquiry,"Should explain PLD9876 plaid shirt and encourage the bundle purchase with PLV8765 vest for better value"
E036,Saw a dress deal somewhere,"Hey, I was browsing around and I think I saw something about a special offer on dresses? It was a knit style I think? Can you help me figure out what I saw?",inquiry,"Should identify KMN3210 knit mini dress buy-2-get-1-free promotion"
E037,Single beach bag needed,"Hi, I just need one canvas beach bag for my upcoming trip. I think the product ID is CBG9876. What's the current price? Thanks!",order,"Should process single beach bag order but mention BOGO promotion option for better value"
E038,Just the bomber jacket,"Hello, I'd like to purchase the women's bomber jacket BMX5432. What's the price for just the jacket?",order,"Should process bomber jacket order and mention the included free beanie offer"
E039,Professional suit needed,"Hi, I'm job hunting and need a professional suit. What suit options do you have? I'm looking for the best value for a complete outfit.",inquiry,"Should recommend TLR5432 tailored suit and explain the bundle deal"
E040,Work tote bag,"Good afternoon, I need a quilted tote bag for work. What's your current pricing on those? Thank you.",inquiry,"Should identify QTP5432 quilted tote and mention the 25% off promotion"
E041,Family vacation bags,"Hi, my family is going on vacation and we need several beach bags. What would be the most economical way to get multiple bags?",inquiry,"Should recommend CBG9876 beach bags with BOGO promotion for multiple bags"
E042,Floral dress for event,"Hello! I need a dress for a garden party next month. I love floral patterns - what do you have in maxi dresses?",inquiry,"Should identify FLD9876 floral maxi dress and mention the 20% off promotion"
E043,Beach bag confusion,"Hi, I want to order those beach bags I saw. I think the code is CBG9867? Or maybe it was CBG9876? Anyway, I want 2 of them. Thanks!",order,"Should correct to CBG9876 and process order with BOGO promotion"
E044,Bomber jacket colors,"Hi, I'm planning to buy the bomber jacket BMX5432. What comes with it and what color options do you have? I want to make sure everything matches my style.",inquiry,"Should explain the bomber jacket and free beanie offer with available color options"
E045,Complete suit details,"Hello, I'm interested in your tailored suits. What exactly comes with the TLR5432? Is it just the jacket or a complete outfit?",inquiry,"Should explain TLR5432 tailored suit bundle deal components"
E046,International shipping question,"Hi, I'm in Canada and interested in that knit mini dress KMN3210. Do you ship internationally and what would the total cost be for multiple dresses?",inquiry,"Should confirm international shipping and explain KMN3210 buy-2-get-1 promotion applies internationally"
E047,Multiple items pricing,"Good morning, could you give me pricing for: 1 quilted tote bag, 1 floral dress, and 2 beach bags? What would be my total cost? Thanks!",inquiry,"Should calculate total with all applicable promotions and clearly explain each discount"
